Issue ID,Title,Created Date,Created By,Type,State,Label
"1","Suggestion: 'protected' modifier","7/14/2014","RyanCavanaugh","Issue","closed","Suggestion"
"2","Updating some tests for resolved bugs","7/14/2014","danquirk","PR","closed","PR"
"3","Revert 'Updating some tests for resolved bugs'","7/14/2014","danquirk","PR","closed","PR"
"4","Report errors on unclosed multiline comments.","7/14/2014","DanielRosenwasser","PR","closed","PR"
"5","Suggestion: implement async / await","7/15/2014","RyanCavanaugh","Issue","closed","Suggestion"
"6","Suggestion: abstract classes","7/15/2014","RyanCavanaugh","Issue","closed","Fixed"
"7","Suggestion: 'for..of'","7/15/2014","RyanCavanaugh","Issue","closed","Fixed"
"8","Suggestion: minification","7/15/2014","RyanCavanaugh","Issue","open","Suggestion"
"9","Suggestion: Extension methods","7/15/2014","RyanCavanaugh","Issue","open","Suggestion"
"10","Suggestion: Generate doc comments in emitted JS","7/15/2014","RyanCavanaugh","Issue","open","Suggestion"
"11","Suggestion: TypeScript Library Project in Visual Studio","7/15/2014","RyanCavanaugh","Issue","open","Suggestion"
"12","Suggestion: read-only modifier","7/15/2014","RyanCavanaugh","Issue","closed","Fixed"
"13","Suggestion: string interpolation","7/15/2014","RyanCavanaugh","Issue","closed","Fixed"
"14","Suggestion: union types","7/15/2014","RyanCavanaugh","Issue","closed","Suggestion"
"15","Suggestion: typechecking of 'this' context","7/15/2014","RyanCavanaugh","Issue","closed","Duplicate"
"16","Suggestion: 'safe navigation operator', i.e. x?.y","7/15/2014","RyanCavanaugh","Issue","closed","Declined"
"17","Suggestion: multi-file external modules","7/15/2014","RyanCavanaugh","Issue","closed","Declined"
"18","Suggestion: typechecking for asm.js","7/15/2014","RyanCavanaugh","Issue","closed","Declined"
"19","Suggestion: Support ES6 'let' and 'const' keyword","7/15/2014","RyanCavanaugh","Issue","closed","Fixed"
"20","Suggestion: colorize type names in Visual Studio","7/15/2014","RyanCavanaugh","Issue","closed","Fixed"
"21","Suggestion: disallow use before definition","7/15/2014","RyanCavanaugh","Issue","closed","Bug"
"22","No errors reported for unclosed multiline comments.","7/15/2014","DanielRosenwasser","Issue","closed","Fixed"
"23","Remove SymbolLinks.typeChecked","7/15/2014","JsonFreeman","PR","closed","PR"
"24","Compiler crash when file casing differs","7/15/2014","RyanCavanaugh","Issue","closed","Fixed"
"25","Better error recovery when errant semicolon found in a class.","7/15/2014","DanielRosenwasser","PR","closed","PR"
"26","Add contribution guidlines","7/15/2014","mhegazy","PR","closed","PR"
"27","Error for merging multiple enums without initial initializers","7/15/2014","JsonFreeman","PR","closed","PR"
"28","Better error recovery for when an arrow function is missing a curly brace.","7/15/2014","DanielRosenwasser","PR","closed","PR"
"29","More I/O fixes","7/16/2014","ahejlsberg","PR","closed","PR"
"30","Changes to determine when to qualify the symbol in given enclosing declaration","7/16/2014","sheetalkamat","PR","closed","PR"
"31","When importing, only check for reserved type names when importing a type","7/16/2014","DanielRosenwasser","PR","closed","PR"
"32","Remove assert","7/16/2014","JsonFreeman","PR","closed","PR"
"33","Fix for Clodule declaration ordering","7/16/2014","ahejlsberg","PR","closed","PR"
"34","Look-ahead for arrow function expressions too permissive when encountering '()'","7/16/2014","DanielRosenwasser","Issue","closed","Fixed"
"35","Moved the emit functionality into emitFiles so emitJavascript and emitDeclarations can share the data and methods without having to pass around data","7/16/2014","sheetalkamat","PR","closed","PR"
"36","Support automatic semicolon insertion in class member declarations.","7/16/2014","DanielRosenwasser","PR","closed","PR"
"37","exported declarations now don't take the exclusive slot","7/17/2014","vladima","PR","closed","PR"
"38","Cleanup temporary project output after running tests","7/17/2014","sheetalkamat","PR","closed","PR"
"39","Crash when emitting source maps for skipped nodes (e.g. 'catch' blocks)","7/17/2014","mhegazy","Issue","closed","Fixed"
"40","[Emit] Functions in object literals","7/17/2014","mhegazy","Issue","closed","Fixed"
"41","[Emit] Module name not underscored when conflicts with parameter name","7/17/2014","mhegazy","Issue","closed","Fixed"
"42","[Emit] clodule with recursive reference","7/17/2014","mhegazy","Issue","closed","Fixed"
"43","[Emit] New should not be used as a name of function expression when emitting accessors","7/17/2014","mhegazy","Issue","closed","Fixed"
"44","[Emit] 'use strict' emitted after __extends instead of before","7/17/2014","mhegazy","Issue","closed","Fixed"
"45","[Emit] Import statement is not emited if alias is used in error position","7/17/2014","mhegazy","Issue","closed","Fixed"
"46","[Emit] Some import statements not emitted","7/17/2014","mhegazy","Issue","closed","By Design"
"47","[Errors] with blocks and global vars","7/17/2014","mhegazy","Issue","closed","Fixed"
"48","[Errors] Empty object contextually typed by type with indexer","7/17/2014","mhegazy","Issue","closed","Fixed"
"49","[Errors] Type argument inference from signatures infers fewer candidates","7/17/2014","mhegazy","Issue","closed","Fixed"
"50","[Perf tests] Unknown attribute in /// references not handeled correctelly","7/17/2014","mhegazy","Issue","closed","Fixed"
"51","[Errors] exported import that exposes a private type","7/17/2014","mhegazy","Issue","closed","Fixed"
